D_15;D_4;1;26
D_15;D_8;1;166
D_15;T_3;1;52
D_15;D_1;1;57
D_15;D_16;1;179
D_15;D_17;0;163
D_15;D_11;0;186
D_15;T_2;1;152
D_15;S_8;0;142
D_10;D_13;1;76
D_10;S_2;1;25
D_10;D_2;1;80
D_10;S_9;0;193
D_10;D_8;1;90
D_10;S_6;0;43
D_10;T_1;0;24
D_10;D_3;1;65
D_10;D_6;0;191
D_10;D_14;0;167
D_10;S_4;0;102
D_10;S_8;0;145
D_10;D_16;0;64
D_10;S_7;1;65
D_13;D_12;1;152
D_13;D_18;1;191
D_13;S_5;1;38
D_13;D_5;1;181
D_13;S_3;0;180
D_13;S_1;0;190
D_13;D_1;1;55
D_13;T_1;0;50
D_13;T_2;0;95
D_13;D_7;1;148
D_13;S_2;1;78
S_2;D_7;1;28
S_2;S_4;0;144
S_2;D_2;1;40
S_2;S_3;0;93
S_2;T_2;0;124
S_2;D_17;0;66
D_2;D_9;0;71
D_2;S_7;0;31
D_4;T_3;1;54
D_4;D_16;0;137
D_4;D_14;0;175
D_8;T_3;0;87
D_8;T_1;0;67
D_12;D_3;1;26
D_12;S_1;0;80
D_12;D_6;0;32
T_3;D_11;0;198
D_1;D_5;1;149
D_1;D_16;1;58
S_6;S_8;0;93
D_18;T_2;1;137
D_18;D_11;0;75
D_18;D_7;0;73
T_1;S_1;0;69
D_7;S_7;0;132
D_16;S_3;0;94
D_16;D_6;0;44
S_5;D_3;1;67
D_3;S_7;1;109
D_6;S_8;0;58
D_11;S_3;0;112
D_9;S_1;0;147
